start...outdoor
-80,-82,-71
-79,-78,-73
-88,-86,-74
-79,-83,-69
-80,-79,-73
-80,-84,-72
-79,-83,-75
-79,-85,-73
-80,-83,-73
-81,-79,-72
-82,-87,-70
-81,-86,-86
-76,-82,-71
-83,-85,-70
-80,-88,-90
-85,-86,-72
-85,-87,-72
-85,-81,-71
-85,-87,-73
-86,-79,-73
-77,-89,-69
-86,-84,-74
-85,-88,-71
-86,-87,-74
-74,-83,-72
-87,-77,-73
-89,-76,-81
-89,-85,-82
-88,-76,-74
-88,-77,-81
-83,-85,-73
-88,-82,-71
-89,-82,-71
-84,-83,-76
-81,-83,-72
-83,-83,-67
-86,-86,-73
-88,-85,-70
-82,-86,-67
-88,-87,-72
-88,-82,-69
-83,-81,-66
-88,-87,-73
-87,-85,-69
-80,-82,-67
-83,-91,-81
-81,-91,-89
-85,-86,-75
-82,-91,-80
-84,-86,-76
-84,-86,-68
-83,-88,-69
-74,-86,-68
-74,-82,-68
-74,-81,-68

